tipoDocumento,documento,nombreCompleto,caracterizacion
TI,6662472725,NOMBRE_TI_APELLIDO_6662472725,1
ANI,6222715198,NOMBRE_ANI_APELLIDO_6222715198,2
ABIS,2069770869,NOMBRE_ABIS_APELLIDO_2069770869,2
TI,7939091963,NOMBRE_TI_APELLIDO_7939091963,1
MTR,9605080179,NOMBRE_MTR_APELLIDO_9605080179,1
HLED-WEB,6015419964,NOMBRE_HLED-WEB_APELLIDO_6015419964,1
ABIS,6007365831,NOMBRE_ABIS_APELLIDO_6007365831,2
AFIS,1124642134,NOMBRE_AFIS_APELLIDO_1124642134,1
TI REN,2154214193,NOMBRE_TI REN_APELLIDO_2154214193,2
AFIS,4956107172,NOMBRE_AFIS_APELLIDO_4956107172,1
EIS,7950384376,NOMBRE_EIS_APELLIDO_7950384376,1
SIC,7785320996,NOMBRE_SIC_APELLIDO_7785320996,2
CC PV,7036460587,NOMBRE_CC PV_APELLIDO_7036460587,1
CC PV,8464022141,NOMBRE_CC PV_APELLIDO_8464022141,2
TI DUP,5249905210,NOMBRE_TI DUP_APELLIDO_5249905210,2
ABIS,3896977145,NOMBRE_ABIS_APELLIDO_3896977145,2
HLED-WEB,6291470387,NOMBRE_HLED-WEB_APELLIDO_6291470387,1
HLED-WEB,3642029868,NOMBRE_HLED-WEB_APELLIDO_3642029868,1
NIP,6454927232,NOMBRE_NIP_APELLIDO_6454927232,2
ANI,3601847705,NOMBRE_ANI_APELLIDO_3601847705,2
CC DUP,6826210457,NOMBRE_CC DUP_APELLIDO_6826210457,2
EIS,4542356890,NOMBRE_EIS_APELLIDO_4542356890,2
NIP,3198735264,NOMBRE_NIP_APELLIDO_3198735264,2
CC DIG,4562506073,NOMBRE_CC DIG_APELLIDO_4562506073,2
CC DUP,3374908075,NOMBRE_CC DUP_APELLIDO_3374908075,2
NUIP,4606862481,NOMBRE_NUIP_APELLIDO_4606862481,1
EIS,8210337742,NOMBRE_EIS_APELLIDO_8210337742,2
DCU,8626342762,NOMBRE_DCU_APELLIDO_8626342762,1
TI DUP,7028295033,NOMBRE_TI DUP_APELLIDO_7028295033,1
EIS,8288463207,NOMBRE_EIS_APELLIDO_8288463207,1
ANI,7099438531,NOMBRE_ANI_APELLIDO_7099438531,1
TI REN,9967846264,NOMBRE_TI REN_APELLIDO_9967846264,2
