tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
EIS,8640955789,Juan Cartagena,26101993,86,86,86,35,0
CC REC,2080029099,Sofía Perez,19021937,27,47,27,24,0
NUIP,8884623150,Daniela Hernández,09121933,41,3,41,95,0
NIP,3015000346,Ana González,15121961,94,47,94,99,0
DCU,6612999998,Ana Murillo,27111955,13,42,13,58,0
TI REC,6849787214,Sofía Rodríguez,22031991,20,19,20,19,0
TI DUP,3441280677,Melissa Hernández,06021979,70,25,70,53,0
DCU,7852506916,Laura Hernández,13041978,88,50,88,4,1
ANI,8013075328,David González,05021978,70,35,70,21,0
CC DUP,9452336445,Carlos Rodríguez,07091933,41,44,41,59,0
MTR,5477517743,Miguel Hurtado,03081930,23,45,23,1,0
TI REN,6877560735,Luis Hernández,19111989,15,10,15,78,1
NIP,4607490043,Miguel González,21031945,99,73,99,87,1
SIC,1961855142,Marcela Cartagena,15021921,54,4,54,25,0
ANI,4844475778,Luis Hurtado,27081973,66,32,66,32,1
CC,1649187054,Daniela González,16121977,27,1,27,40,0
CCT,0662010065,María García,08062000,73,25,73,36,0
CC,7269625867,Ana López,04061924,41,25,41,2,0
CC DUP,9936719901,Laura González,27071996,63,81,63,92,0
TI DUP,6573903088,David Castaneda,08021985,95,2,95,2,0
DCU,4854456247,Luis Cartagena,25081960,68,35,68,15,1
AFIS,0602198196,María García,13041982,15,51,15,99,1
NUIP,2683080125,Juan Cartagena,11032007,85,2,85,78,1
NUIP,3350209386,David Perez,24031962,23,54,23,93,1
TI REC,3963864709,Manuela González,17061950,91,34,91,41,1
SITAC,0616137891,Marcela González,24091971,73,38,73,52,1
ANI,8278196121,Sofía Hurtado,08021921,20,59,20,58,0
CC DIG,9679339829,Carlos González,02011976,73,43,73,29,0
NIP,2471797691,Manuela Perez,16071929,27,52,27,21,1
ANI,5133819380,Melissa Cartagena,10121989,8,30,8,78,1
TI PV,6820482196,Miguel Castaneda,16121936,54,47,54,75,1
SIC,0200983548,Carlos Cartagena,16101946,41,36,41,10,1
CC REN,2526812183,Carlos García,13071935,47,95,47,68,1
AFIS,2323478408,Marcela Martínez,23021976,47,88,47,10,1
NUIP,5425499049,David Rodríguez,13101984,47,26,47,45,0
CC REN,7779906899,Juan Murillo,20081992,95,97,95,94,1
NUIP,9978106240,Daniela Rodríguez,16082002,15,58,15,41,1
SIC,8719653190,Luis Martínez,14051928,95,25,95,83,1
CC DIG,2917461569,Ana Martínez,23071971,50,98,50,65,0
SITAC,5268189962,Gabriela García,06121955,17,38,17,21,0
TI PV,7262786408,Juan Perez,09051925,41,95,41,54,1
AFIS,9124312534,Laura Perez,21061926,94,22,94,40,0
NUIP,5561999365,Manuela Martínez,20061982,44,20,44,67,0
TI PV,2574971965,Marcela Perez,03061981,94,31,94,73,1
CC PV,3303844060,Miguel Cifuentes,27031988,13,45,13,79,0
TI PV,6465780670,Marcela Perez,03072020,47,26,47,47,0
TI PV,9161699293,David González,11031954,25,75,25,65,1
CC REC,5039647836,Gabriela Cartagena,19121991,70,59,70,11,0
ABIS,0791755497,Gabriela Cartagena,07071946,81,6,81,55,0
SIC,3834349440,Daniela Perez,16101982,76,90,76,77,1
CC,9750924556,Sofía Cifuentes,16061945,41,87,41,16,0
ABIS,2358465098,David Castaneda,17071985,97,10,97,92,1
NIP,1679794343,Marcela Hurtado,14071925,17,68,17,26,1
ANI,6388208944,Laura Murillo,05071939,94,73,94,1,0
CCT,4729015972,Melissa Martínez,13091943,81,54,81,54,0
SIC,5711000472,Daniela Rodríguez,09101949,63,97,63,15,0
CC DIG,8009358350,Laura Murillo,23121950,54,95,54,91,0
NUIP,7684128864,Luis Martínez,16111935,27,19,27,95,1
MTR,0393243924,María Hurtado,01091950,95,52,95,40,0
EIS,4921123694,Luis Hernández,13071978,54,87,54,11,0
ABIS,1817775348,Miguel López,21102007,73,91,73,29,0
AFIS,1545925501,Ana Hernández,04061987,47,13,47,38,1
ANI,1501874948,Gabriela García,13121931,50,38,50,58,0
TI DUP,3772371814,Gabriela Cifuentes,03071902,44,45,44,62,0
CC,6272153521,María Rodríguez,03012003,19,68,19,91,0
TI,6146582393,Carlos Hurtado,22031933,20,6,20,3,1
SIC,2131866985,Gabriela Murillo,27102002,99,77,99,52,0
CC PV,9213140528,Daniela López,13091947,47,75,47,75,0
CC REC,9792411762,Marcela Hurtado,18081926,86,2,86,11,1
DCU,1087351693,David López,18122000,52,41,52,41,0
CC DUP,2376204141,Melissa Martínez,26061989,66,30,66,93,1
SITAC,1025812086,David Rodríguez,19111924,73,22,73,21,1
CC REC,1487189204,Laura Martínez,01031956,54,52,54,43,0
EIS,4223406156,Sofía Castaneda,04111946,94,81,94,32,1
CC REC,7818620074,David Castaneda,16041994,19,35,19,53,1
TI,8306213725,Laura Cifuentes,16091976,15,44,15,86,1
ANI,9390942804,Miguel Castaneda,28061989,68,93,68,4,1
NIP,6056719579,Miguel García,25101956,63,42,63,91,0
TI REC,4547260123,Melissa Hernández,04012007,17,2,17,67,0
SITAC,8173314600,Melissa Martínez,03111991,66,43,66,20,1
CC REN,3955789264,Gabriela Castaneda,05091988,11,1,11,68,0
ABIS,4206943664,Melissa Hurtado,13111928,94,11,94,58,0
TI REN,1900121727,María Rodríguez,25031931,15,98,15,81,0
HLED-WEB,1966853805,Gabriela López,13101951,41,54,41,92,0
CC,2630677235,Laura Castaneda,14101934,52,13,52,92,0
CC PV,6153046942,María Cartagena,21091999,68,99,68,95,1
TI DUP,0016485003,Gabriela Hurtado,11021968,47,21,47,55,0
SIC,2071107846,Juan Martínez,27051957,91,1,91,51,1
CC DUP,5515296159,María González,07091935,18,55,18,50,1
CC DIG,0018389953,Miguel González,04032002,8,94,8,83,1
AFIS,6794271573,Daniela Castaneda,18111978,8,19,8,19,1
SITAC,6046306475,Luis Martínez,28051987,8,75,8,81,1
TI PV,7503727878,Daniela Castaneda,08111936,18,93,18,62,0
HLED-WEB,7537790031,Marcela Hernández,26031973,54,91,54,41,0
TI REN,5430872528,Juan Hernández,01111931,81,11,81,11,0
EIS,7209131208,Luis García,05012003,95,94,95,67,1
MTR,7174975292,Luis Cifuentes,27011938,97,58,97,92,1
ANI,3594030615,Carlos Martínez,22121999,19,100,19,30,1
MTR,0844511583,Laura López,19041984,8,97,8,73,1
TI REN,3765900411,Sofía García,14081992,91,24,91,95,0
TI DUP,8674312956,Melissa Rodríguez,03011938,13,22,13,50,1
SITAC,0371787526,Melissa Cifuentes,07101979,52,22,52,6,1
TI PV,9669870619,Melissa Hurtado,16031996,73,94,73,91,0
TI DUP,1254572327,Sofía Cartagena,26011988,23,40,23,32,0
NUIP,8646983656,Melissa Murillo,16011993,18,21,18,42,0
AFIS,7375951241,Sofía López,01101969,5,42,5,26,0
ABIS,9589082302,Ana Cartagena,20101989,18,81,18,47,1
AFIS,1207240268,Laura Perez,03101952,17,11,17,29,0
CC DUP,0755457251,Marcela Murillo,02061999,54,40,54,32,1
NIP,5730892308,Ana Hernández,12121937,20,75,20,1,0
SIC,1161126705,María López,05021933,88,24,88,50,1
HLED-WEB,2848499878,Marcela Murillo,23041994,94,26,94,11,1
TI DUP,1624693241,Laura López,16011959,88,55,88,2,0
NIP,2525524941,Marcela Cifuentes,10092007,8,22,8,67,1
SIC,6900357635,Laura Cifuentes,07091952,73,83,73,38,0
NIP,0056790005,Melissa Hernández,26051933,19,67,19,26,0
CCT,9511576353,Manuela Hernández,03011988,27,11,27,54,0
CC PV,4126945520,Miguel González,08121942,44,86,44,3,0
SITAC,7199030795,Sofía Martínez,18101987,73,87,73,26,1
NUIP,4055161744,Manuela Hernández,02061950,15,44,15,47,1
CC,7777176373,Luis Martínez,14111963,85,45,85,47,1
TI PV,0111787979,Gabriela Cifuentes,06111951,20,44,20,35,0
EIS,8344024847,Ana Martínez,06121952,47,65,47,99,1
TI DUP,5936948358,Manuela Cifuentes,24091941,70,58,70,55,0
SITAC,2457646952,Laura García,04112001,23,3,23,32,1
CC REN,9168363391,Carlos Rodríguez,18042005,76,74,76,42,0
DCU,3195359704,Manuela Hernández,26111997,68,4,68,81,0
TI REN,4176166305,Juan González,07051943,63,25,63,62,0
CC REN,8022229065,Carlos López,14102018,23,81,23,38,0
NIP,1136381903,Manuela López,27021966,47,44,47,88,1
DCU,9707484344,María Cifuentes,02092003,8,100,8,83,1
TI REC,0549320764,Manuela Martínez,15081999,13,55,13,50,0
CC REC,6315145867,David Hurtado,15111966,17,99,17,13,1
ABIS,9778982973,Laura García,12071928,18,95,18,32,1
EIS,5757234282,David Perez,25041924,52,29,52,100,0
CC REC,3590132912,David Cifuentes,22011983,70,40,70,3,1
TI DUP,5575263277,Daniela Cartagena,03061974,95,99,95,19,0
CC DIG,4042140968,Sofía Hernández,14051970,27,60,27,83,0
MTR,4781108275,Carlos Murillo,14051968,76,44,76,58,1
TI PV,3926009037,Daniela Castaneda,05072001,91,92,91,88,0
CC PV,9960996920,Miguel González,04121960,91,79,91,52,1
MTR,0734862238,Sofía Castaneda,07031939,50,11,50,65,1
HLED-WEB,1736660229,Miguel Martínez,01071965,70,4,70,90,0
CC REN,6188388703,Manuela González,06121940,27,15,27,3,0
CC,9984021373,Miguel García,06091987,94,74,94,79,0
TI REC,8829374210,Miguel López,12051969,41,26,41,20,0
TI PV,9248597885,Daniela Perez,18101924,18,34,18,100,0
TI REC,6804891900,Marcela González,10061976,20,90,20,50,0
SITAC,4518889014,María Cifuentes,11101941,23,53,23,88,0
TI REN,5052649212,Ana González,02021950,54,59,54,40,1
CCT,9210783895,Sofía Cartagena,28051980,86,77,86,32,0
TI DUP,7660203001,Laura Cartagena,05101974,13,58,13,91,1
TI REC,6175227985,Ana Cifuentes,11081999,95,86,95,10,1
CC DUP,0357058301,Ana Cifuentes,13071973,23,78,23,50,1
CC REC,0890240889,Gabriela González,01051962,47,29,47,53,1
TI,8285454505,María Castaneda,20101946,85,53,85,30,1
CC DUP,7921047413,Carlos Castaneda,26121934,88,41,88,25,1
EIS,3528072905,Miguel González,17031985,20,50,20,31,0
TI REN,5583098206,Luis Perez,16122005,44,67,44,11,1
EIS,4986556070,Sofía Cifuentes,06061962,13,97,13,78,0
CC,0284776417,Carlos García,07021933,95,44,95,15,0
CC REN,6413656520,Daniela Cifuentes,19081940,41,42,41,26,1
TI,8812833646,David Martínez,16121936,91,36,91,15,0
NUIP,0511031427,Daniela García,21011948,18,58,18,52,1
TI DUP,5071062388,Miguel Castaneda,07061977,52,62,52,15,1
HLED-WEB,5150428722,Melissa García,07091968,17,59,17,68,0
TI,1329103229,Marcela Castaneda,15081938,73,81,73,38,1
TI PV,1558693895,Sofía García,14121950,18,67,18,79,1
NUIP,0183449805,David Martínez,27061973,81,36,81,53,1
TI DUP,4172416586,María López,04091964,50,34,50,10,0
CC REC,5989719639,Marcela González,10012006,17,16,17,59,0
CC DIG,4980716755,Melissa Cifuentes,03031940,91,11,91,67,0
CC REN,5929062251,David López,26062004,15,2,15,50,1
ABIS,0648175772,María Murillo,01101974,27,58,27,20,0
DCU,5004701731,Gabriela Murillo,11031988,81,13,81,15,0
NUIP,2230514305,Gabriela Cartagena,26101940,88,34,88,36,1
SITAC,4228289186,María Hurtado,05122012,18,52,18,24,0
TI REC,2904164758,Ana Rodríguez,07081948,88,98,88,22,1
HLED-WEB,8061932339,Daniela Rodríguez,27021940,70,35,70,6,0
CC PV,8105838579,Gabriela López,18111930,95,67,95,47,0
TI REC,5823640016,Marcela Hurtado,03101929,68,81,68,68,1
NUIP,1197214026,Melissa Cifuentes,14061984,66,3,66,83,0
HLED-WEB,7998507734,Sofía Martínez,06101971,47,32,47,75,1
EIS,3055892783,Melissa García,27072009,66,42,66,93,0
TI PV,8513059276,Sofía López,12081961,20,54,20,67,1
TI,3965081896,Laura Perez,12111927,50,67,50,40,0
ABIS,7394841084,Luis Rodríguez,26121950,5,97,5,55,1
CC REN,8322879472,Juan Murillo,03021947,97,74,97,38,1
TI REN,9556257528,Manuela Martínez,15011978,13,1,13,62,0
SIC,2496619428,David Rodríguez,11101990,11,40,11,53,0
NUIP,8017604375,Miguel Cifuentes,05041991,50,1,50,45,0
AFIS,4393178983,Miguel Hernández,08071951,81,43,81,88,0
TI DUP,3287884214,Gabriela Martínez,01031946,99,99,99,21,1
TI REN,6629734256,Miguel Martínez,06081900,99,4,99,47,0
CC DUP,8945184368,Laura Rodríguez,12111935,41,15,41,22,0
SITAC,2277260489,Juan García,03091973,18,34,18,6,1
MTR,3711011645,Luis López,23111976,95,100,95,31,0
CC,9922321275,Miguel González,28051937,68,47,68,77,0
CCT,3982794659,Sofía Martínez,13031995,13,36,13,10,1
HLED-WEB,6678315249,Daniela Martínez,18041980,20,21,20,98,1
CC,1064954253,Daniela Cifuentes,28061994,5,81,5,16,1
SIC,7861441599,Miguel González,20052008,94,31,94,35,0
CC,4061250450,Carlos Hurtado,17072001,8,81,8,94,0
EIS,3026403459,Laura González,01112007,94,97,94,65,1
CCT,9424684886,Sofía Cifuentes,01012009,68,78,68,15,1
CC REC,5647022913,Daniela Hernández,02081937,70,52,70,86,1
CCT,0865820962,Miguel Cartagena,02041947,44,94,44,45,1
MTR,1930704034,Daniela Martínez,20051941,99,52,99,99,0
ANI,3292580037,Laura Castaneda,06091978,52,38,52,73,0
CC REC,2376334143,Ana Martínez,11012005,25,20,25,41,1
ABIS,5072167718,Luis Cartagena,05121994,76,67,76,88,1
HLED-WEB,6002584396,David Cartagena,12021979,99,24,99,92,0
EIS,9806581714,María González,07041929,66,88,66,60,1
SIC,3286975788,Manuela Hernández,10031929,5,25,5,65,0
NIP,8229880441,Sofía Hernández,28021984,88,65,88,90,0
TI DUP,4148775131,David Castaneda,24051968,88,97,88,21,0
ABIS,3421095365,Marcela Perez,11101970,44,22,44,98,0
CC PV,6421791771,Manuela Cifuentes,27121994,81,58,81,21,0
NUIP,8552372636,María Rodríguez,19122007,68,100,68,77,0
CCT,2045386475,María Hernández,17071972,54,59,54,55,0
TI PV,3044042514,Sofía Cartagena,23122009,68,22,68,44,1
TI DUP,8816226558,María González,19051961,54,91,54,62,0
CC REC,4756534602,Gabriela López,17071994,63,94,63,45,1
CC DIG,1329371045,Gabriela García,14051954,5,99,5,15,0
CC DUP,2941080088,Luis González,18081927,23,83,23,31,1
CCT,7658936154,Gabriela Perez,25121958,41,98,41,30,1
NIP,8000106415,Gabriela López,02011930,25,43,25,6,0
CC PV,7260211843,David Cifuentes,28091990,20,87,20,16,0
TI REN,0972235660,David Perez,25101989,86,81,86,20,0
ABIS,2558876448,Daniela Murillo,26051904,13,13,13,67,0
DCU,8377562463,Miguel Hernández,01061996,17,79,17,79,0
TI REC,2733129856,María González,13011939,44,34,44,93,1
CC REC,6675738310,Luis Murillo,09111946,8,74,8,51,1
HLED-WEB,7834512938,María Hurtado,02051987,81,30,81,10,0
TI REC,1486742592,Sofía Rodríguez,24031931,97,1,97,74,1
CC DUP,6356203730,Ana Hurtado,10091962,97,6,97,34,1
AFIS,3479189049,Marcela Castaneda,03121925,88,77,88,94,1
TI REC,9032329516,Luis Castaneda,05071945,47,29,47,32,1
TI REC,5459457058,Sofía López,27111934,66,45,66,90,1
DCU,2350820987,Luis González,28101986,88,21,88,58,1
CC DUP,1712032680,Miguel Martínez,18021961,41,41,41,74,1
NUIP,2725277944,Laura Hernández,06031982,50,38,50,25,0
CC DIG,1670738186,Marcela Murillo,23011929,19,3,19,58,1
AFIS,5189808733,Luis Castaneda,27031956,94,99,94,16,1
CCT,8874490989,Daniela Cartagena,17121926,8,90,8,15,0
CCT,0578797806,Carlos Rodríguez,27102006,23,10,23,22,0
TI PV,6006915435,Laura Castaneda,27011952,54,36,54,15,1
CC REN,7590334644,Miguel Cifuentes,01071946,54,1,54,10,1
DCU,2362698424,David Murillo,14021937,8,6,8,36,1
CC REC,8811811302,Manuela González,02022006,23,52,23,74,0
NIP,0662243945,Ana Hernández,08081957,13,20,13,87,0
CC DUP,9891838822,David Rodríguez,03101941,95,100,95,62,1
SITAC,5170574337,Miguel Hurtado,20081974,81,94,81,51,1
ANI,1766782215,Manuela Martínez,22011991,20,53,20,26,1
CC,5467316673,Juan Hurtado,23031947,44,10,44,83,0
CC,4023075709,Laura Rodríguez,10111927,23,54,23,6,0
ABIS,5700132857,Melissa Cifuentes,25081963,15,77,15,68,1
SITAC,0785620793,David García,28012003,44,44,44,53,0
CCT,9281244836,Juan Castaneda,17062019,41,95,41,24,1
TI DUP,4295014909,Melissa Hernández,22071951,44,32,44,67,0
CC REC,7151126269,Juan González,08031948,5,91,5,10,0
EIS,6206805177,Manuela Cifuentes,05111997,23,41,23,19,0
TI PV,4277162507,Gabriela Cifuentes,08022002,41,98,41,25,0
SIC,7291230947,María Perez,10051931,25,53,25,41,1
CCT,9492663744,Carlos Perez,17022004,95,78,95,43,1
ABIS,3190529220,Miguel González,24011951,68,30,68,73,0
TI PV,5563536473,Juan Hernández,27011943,86,6,86,19,1
NIP,2005163678,Juan Cartagena,11081949,66,44,66,42,0
SITAC,1758032464,Daniela Hurtado,13102001,86,59,86,90,1
ANI,3378293241,Gabriela López,10041958,15,62,15,88,1
SITAC,7042607137,Carlos González,19042007,54,40,54,3,0
TI DUP,3621186399,Marcela Rodríguez,07091926,86,26,86,11,1
SIC,8983052930,Miguel López,26031973,95,95,95,20,1
CC DUP,6536593801,Marcela Murillo,15031927,95,86,95,25,1
CC DIG,0248215117,Luis Perez,01121960,5,32,5,78,0
HLED-WEB,7639928630,Sofía López,10031958,5,1,5,87,1
CC PV,7204823337,Daniela Rodríguez,14081963,95,81,95,16,0
SITAC,2299270935,Melissa González,22101939,27,36,27,38,1
EIS,7474492403,Sofía Hernández,28021940,66,100,66,6,1
TI,1717822253,David Cifuentes,03071981,15,59,15,44,1
TI REC,7341530404,Manuela Cartagena,19121929,99,78,99,55,0
HLED-WEB,5792329166,Daniela Cifuentes,20091969,5,25,5,47,1
TI REN,7887476757,Daniela Murillo,25041986,15,50,15,93,1
CCT,5625288697,Carlos Rodríguez,23091990,54,15,54,2,0
ANI,7624006403,Daniela López,21021927,17,59,17,50,1
SIC,4049640699,Luis Hernández,25091989,52,10,52,35,0
TI REC,3798632379,Sofía Murillo,26032000,95,38,95,55,1
HLED-WEB,4213079727,Luis González,11051988,20,6,20,78,0
CC,5035229873,Melissa Hurtado,11091983,95,32,95,86,0
CC DIG,0485191938,Juan Hurtado,24112007,91,36,91,21,1
CC DUP,8577581934,Luis González,04091950,95,83,95,40,1
CCT,1315553110,Miguel Hernández,20022001,52,65,52,58,1
