tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
CC REN,6763440461,Daniela García,25041936,66,11,66,40,1
TI,7112267942,Luis García,04101939,95,20,95,54,0
ABIS,8005853527,Sofía Castaneda,06042006,41,36,41,6,0
ABIS,7781513392,Sofía Cifuentes,26101963,95,31,95,98,1
TI,9672888566,Daniela Perez,22081949,47,13,47,41,1
SITAC,2752532775,Daniela García,04101995,99,20,99,94,1
TI,7100650833,Gabriela García,02051982,54,94,54,31,1
TI REC,8855200119,Manuela López,18031998,11,1,11,34,0
MTR,8299487256,Manuela Hurtado,15021985,81,77,81,36,1
TI DUP,5600679209,Carlos Hernández,17021991,41,16,41,40,0
SIC,4328545499,Laura Perez,28101995,5,98,5,83,1
NIP,8776876493,Melissa Cifuentes,05041961,73,67,73,10,1
NIP,9835056185,María Cifuentes,17031957,81,16,81,73,1
SITAC,4526657594,Luis Hurtado,01051972,73,93,73,2,0
CC REC,7229009493,Laura Martínez,06011926,63,10,63,32,0
NUIP,5368485351,Ana López,12102019,63,26,63,15,1
HLED-WEB,1300012183,Ana Rodríguez,04041916,68,59,68,19,1
ANI,1214229530,Sofía García,15091916,5,65,5,75,1
ABIS,7599460251,Melissa Castaneda,01032008,54,19,54,90,0
CC PV,6915988960,Sofía Hurtado,12121986,94,77,94,74,1
SITAC,2141691443,Miguel Hurtado,02031941,8,59,8,79,0
CC REC,8359670414,Laura González,16061974,88,16,88,29,0
CC DIG,0078927613,Daniela Rodríguez,20022004,25,51,25,83,0
CC DUP,6450749042,Gabriela Cifuentes,18121978,15,60,15,93,1
CC DUP,7123703919,Sofía Rodríguez,12041976,73,88,73,26,1
NUIP,6062775762,David Cifuentes,20041955,99,79,99,16,1
DCU,6815298129,Miguel Perez,22031984,17,42,17,25,0
TI,0439451496,Ana Cifuentes,16091927,18,62,18,95,1
TI DUP,9234621917,Melissa García,16111994,63,83,63,15,0
EIS,9562494634,Miguel Martínez,27011950,81,53,81,59,1
SIC,5468860215,Marcela Hernández,14092006,20,94,20,93,0
TI REC,1927367396,Juan Cifuentes,08061985,85,91,85,30,1
CC PV,7965598836,María Hurtado,04021938,68,81,68,16,0
SITAC,6571729693,Luis Murillo,14041928,85,86,85,19,1
SIC,2554678033,Marcela Hernández,05041961,99,91,99,99,0
TI REC,0606675982,Miguel Perez,06031928,27,51,27,32,0
CC DUP,5183560873,Ana Cifuentes,06111981,52,47,52,55,1
NIP,1625329477,María Perez,02042002,20,54,20,65,1
DCU,2436479426,Laura López,06121999,52,13,52,87,1
NIP,2446424818,Juan Hernández,27071974,73,29,73,11,0
CC DIG,2874778345,María López,27041956,50,62,50,38,0
SIC,6333056738,David Murillo,16011941,44,6,44,30,0
TI,1142891626,Sofía Hernández,15082007,13,88,13,24,0
SITAC,7361030479,María García,20121938,52,51,52,22,0
MTR,4075708436,Juan García,18021931,66,19,66,34,1
MTR,9255912074,Miguel González,20011974,15,32,15,91,0
ANI,9011291505,Laura Castaneda,21031935,54,75,54,30,0
CCT,6241584043,Miguel González,04041948,97,31,97,78,1
EIS,0986478299,David González,05041994,73,21,73,81,0
AFIS,6034717047,Daniela Rodríguez,01081935,63,32,63,31,1
EIS,4028116426,Ana Perez,12011947,25,87,25,25,0
ABIS,4464755386,Melissa Hurtado,26071989,86,4,86,73,1
ABIS,5263617224,Juan López,23041958,66,79,66,92,0
CC REC,6430493108,María López,07051948,99,40,99,87,0
CC,0983132940,Marcela Hurtado,14071947,81,47,81,74,0
MTR,2275426185,Manuela Perez,27101988,66,10,66,40,0
TI,7571284755,Sofía Murillo,12071930,13,54,13,86,1
TI REN,1468097093,Laura González,05061940,76,11,76,68,0
NUIP,3394893640,María Castaneda,02101996,70,87,70,59,1
EIS,2587745374,Carlos Martínez,27041936,15,60,15,41,1
CCT,8468920988,David Rodríguez,16111977,81,31,81,74,0
CC REN,6941464654,Laura Rodríguez,14121946,23,52,23,83,1
MTR,6137800524,Gabriela Cifuentes,15091976,20,55,20,43,1
MTR,7923569197,Melissa Rodríguez,07022005,81,77,81,16,1
TI PV,7317825848,Manuela Perez,27032003,73,11,73,94,1
MTR,3674540009,Sofía Rodríguez,15111954,13,42,13,55,0
CCT,8350351742,Sofía Castaneda,05091987,97,38,97,68,0
TI,9507806144,Marcela Hurtado,09072005,95,19,95,15,1
NUIP,3582378280,Laura Murillo,12091956,76,32,76,4,0
MTR,9183525035,Gabriela García,18031927,52,13,52,58,1
ABIS,5261167466,Daniela Hurtado,11051985,54,52,54,21,0
TI PV,9634833921,Manuela García,02021992,68,87,68,94,1
CC REC,9712543050,Sofía López,12031934,20,29,20,47,0
NUIP,8814475589,Manuela González,15112009,85,86,85,50,0
HLED-WEB,8125110547,Daniela López,15121999,86,4,86,94,1
CCT,6703401718,Melissa Murillo,11081929,85,75,85,4,1
NUIP,1754879018,Laura González,03112006,17,59,17,47,1
TI REC,5113504919,Sofía Hernández,19111941,27,67,27,75,1
ANI,7154286213,Marcela Martínez,22041959,11,77,11,92,1
AFIS,6261149310,Marcela Cifuentes,13101967,47,62,47,44,0
SITAC,3662535036,Sofía García,16101941,18,62,18,47,0
TI DUP,4341657347,Ana García,25121994,70,100,70,22,1
TI PV,0686385467,Luis Perez,18011986,88,19,88,52,0
TI REN,2465162824,David Perez,15061994,99,31,99,4,0
TI REC,5978008366,Melissa Martínez,17061959,99,4,99,65,0
SIC,2244262030,Gabriela García,22021960,13,98,13,86,1
TI DUP,7979497462,Daniela Hernández,24081927,95,53,95,98,0
TI PV,5260579837,Juan Martínez,27102009,68,29,68,25,0
TI PV,4387988863,Gabriela Hurtado,22101974,68,59,68,90,0
CC PV,6786394353,Melissa González,25052014,54,36,54,35,0
AFIS,1487028749,Laura González,15121979,76,2,76,24,0
CC,4977268695,Juan González,05021993,52,67,52,51,1
NUIP,8934880781,Marcela González,05091944,63,41,63,65,0
TI PV,0532315797,Melissa García,23041954,88,3,88,91,1
CC DIG,5444936166,Gabriela Hurtado,02121911,68,51,68,6,1
SIC,1511333769,Juan García,26071913,95,1,95,44,0
TI PV,8642769582,Laura Cifuentes,24011997,5,91,5,51,1
CC DUP,4749293219,Manuela González,12101928,73,99,73,43,0
ANI,3983498041,Sofía Hurtado,18011995,86,26,86,78,1
EIS,7047245625,Laura López,03031983,81,43,81,47,1
NIP,9291649402,Manuela González,01031964,95,65,95,25,1
NIP,5282915742,Marcela López,02011955,41,20,41,99,0
CC DIG,5445937395,Ana García,17091937,81,20,81,50,1
CC,3151664271,Ana Hurtado,07121993,8,34,8,99,0
MTR,2133224447,María Hurtado,05061959,63,94,63,31,1
CC DUP,8563881405,Daniela González,16071998,81,68,81,74,0
SIC,0636864903,Melissa Castaneda,05011980,50,91,50,78,0
ABIS,0960773221,David González,09022002,41,32,41,24,1
TI REC,4307216817,Miguel Hernández,20082009,99,86,99,38,0
TI REC,0200513189,Sofía García,04081945,85,52,85,30,0
CC PV,6585665176,Juan Murillo,01041973,63,75,63,67,1
ABIS,0652642970,Marcela García,14101925,85,2,85,41,0
EIS,8817327940,Sofía Castaneda,14081967,76,53,76,60,1
TI REN,9416176226,David González,02101948,97,62,97,68,0
CC DUP,9351137636,María Hurtado,03121984,52,55,52,16,1
TI,3639473743,Carlos Hurtado,26042005,68,36,68,68,0
TI PV,0531630490,Sofía Cifuentes,01052001,63,34,63,79,0
EIS,0051668185,Gabriela Hernández,11061926,15,24,15,58,1
TI,9694519940,Juan Murillo,07052008,88,75,88,35,1
NIP,4308959943,Sofía García,19031927,50,42,50,53,1
CC REC,5539779814,David Hernández,14031925,81,4,81,55,0
CCT,2337213324,Marcela González,02011951,19,2,19,1,1
EIS,7738256893,Laura Murillo,11041958,85,99,85,83,0
NIP,6939159732,Laura Cifuentes,13021997,8,88,8,86,1
TI REC,0455818631,Miguel González,13021957,88,2,88,6,0
CCT,8982883745,Ana García,22041979,13,97,13,42,1
CC DIG,3739432865,Laura López,28081966,47,55,47,25,1
NIP,5679006912,Marcela García,19011982,20,87,20,31,1
TI,6429369591,Carlos Hurtado,27012008,44,78,44,6,1
TI REN,6290663816,Ana Castaneda,11081936,20,24,20,29,1
SITAC,6969179429,Daniela Rodríguez,05021996,70,62,70,13,1
CC,8594346810,Carlos Perez,11031941,68,55,68,51,0
SIC,8639931973,Juan Hurtado,18011954,50,11,50,93,1
EIS,6210068254,María López,14032000,70,75,70,20,0
NIP,8708017221,Sofía García,24081971,54,34,54,31,1
EIS,3014784015,Manuela Cartagena,23061986,97,78,97,29,1
CCT,9021931811,Ana Martínez,25081923,23,42,23,29,1
CCT,7966690486,Marcela Hernández,17121951,73,73,73,1,1
CC DUP,3979749884,Manuela López,20122007,47,54,47,41,0
NUIP,2991658973,Daniela González,26021932,63,44,63,25,0
ABIS,0365086336,Luis Hernández,24121931,94,95,94,20,0
TI,2157636967,David Cifuentes,25121976,47,74,47,75,1
TI,1285898200,Miguel Martínez,22021927,81,88,81,1,1
CC REC,5433869308,Ana García,27071974,88,2,88,83,1
TI REC,6350572096,Gabriela López,12011968,8,97,8,4,1
CC PV,7750235017,Melissa Cartagena,04061960,99,44,99,19,1
TI PV,3822822714,David Cifuentes,04081927,52,38,52,88,0
CCT,0836555063,Luis Rodríguez,17071980,70,30,70,2,1
CC REN,8310809789,Juan López,08071992,8,31,8,32,0
CC REC,8251723399,Juan Cifuentes,02021940,11,65,11,38,0
SITAC,7142838881,Daniela González,04082007,68,62,68,38,0
CC PV,5729481747,Juan Martínez,15061984,52,21,52,97,0
CC REC,5634334440,Laura Castaneda,22101978,76,10,76,53,1
TI DUP,5798011480,Ana Martínez,02012024,47,53,47,59,1
CC DUP,4376984902,Juan Cartagena,15101968,68,45,68,52,1
SITAC,7344800797,Melissa Hurtado,05051989,15,50,15,31,0
TI DUP,0657031091,Laura López,18051971,15,47,15,52,0
CCT,1716973190,Ana González,22121973,91,97,91,45,1
TI DUP,0394050593,Carlos González,09021977,54,4,54,81,1
EIS,8699757921,David Cifuentes,28051980,27,30,27,94,1
MTR,0541127213,Manuela Castaneda,03091928,94,54,94,43,1
TI REN,1125312263,Carlos López,08112002,76,4,76,54,1
DCU,3332425656,Ana Cartagena,14062005,18,25,18,3,1
EIS,3612833563,Sofía Rodríguez,25091988,95,20,95,75,1
MTR,8461958504,María Rodríguez,03061953,68,51,68,100,0
AFIS,1477522425,Daniela Rodríguez,08021984,68,60,68,86,0
CC PV,0245409034,Sofía Cifuentes,26081959,18,43,18,45,1
NUIP,3252572995,Laura Cartagena,27082002,11,68,11,91,1
TI DUP,7734193628,Laura Perez,22031929,13,44,13,36,0
CC PV,6712465152,Marcela Murillo,27011974,73,32,73,26,0
CC DUP,7294548704,Carlos Cifuentes,27111958,68,24,68,94,0
ABIS,4931308190,Manuela Castaneda,16061977,27,10,27,40,0
TI REN,6127103160,Daniela Martínez,21121933,94,60,94,55,1
CC PV,1566565885,Manuela Cartagena,23081997,76,60,76,47,1
NUIP,9680444668,Gabriela Castaneda,03091942,63,30,63,42,0
NIP,8688987193,María Cartagena,09121971,52,86,52,32,0
ANI,4632913409,David García,26121936,99,1,99,21,1
CC DIG,3459916952,Gabriela Cifuentes,28081993,47,13,47,92,1
TI DUP,9221011867,Marcela Martínez,11061975,47,81,47,79,0
MTR,6653391229,Carlos Cifuentes,19021994,50,88,50,35,0
ABIS,9762508654,Luis Martínez,24071925,70,10,70,38,0
AFIS,7013091838,Luis Cifuentes,03042008,91,13,91,88,0
NIP,8637669141,Manuela Castaneda,26121987,85,34,85,55,1
EIS,8457896642,María Cifuentes,17081988,13,93,13,68,0
CC REN,9089485736,Carlos Martínez,04121971,52,59,52,87,1
TI REC,8237656540,Luis López,06121995,15,60,15,19,0
TI PV,7807654571,Gabriela Perez,25091972,68,100,68,30,0
CC DUP,1641162648,Luis Castaneda,05101949,99,4,99,29,0
TI REN,4832655443,Miguel Hernández,14121929,8,94,8,16,1
TI REC,5468533675,Laura González,05041969,47,21,47,13,0
TI,1948416495,Daniela Cartagena,09071926,70,31,70,2,1
CC DIG,3327728570,Luis Hernández,15071973,23,4,23,77,0
MTR,6993678619,Luis Cartagena,07012008,13,60,13,77,1
CC REN,6250688487,Marcela Perez,20071935,99,10,99,42,0
TI,5800387663,Laura Cartagena,03071945,70,92,70,98,0
HLED-WEB,8488043794,David Hurtado,18041927,17,42,17,90,0
TI,5138908894,Marcela López,14091959,88,40,88,93,1
TI REC,0827918570,Miguel Martínez,27101937,11,75,11,16,1
TI DUP,0012826930,Juan Rodríguez,25091927,47,98,47,93,0
SITAC,4462907993,Miguel Hurtado,06112016,11,15,11,54,1
CC REN,8092740528,Melissa Perez,07032022,13,78,13,13,0
HLED-WEB,5949641417,Manuela Murillo,27012007,13,25,13,97,0
ABIS,3245698372,María Rodríguez,12081992,86,65,86,62,0
CC,8372268724,Manuela Cartagena,01091938,5,11,5,22,0
ANI,6523045451,Miguel Rodríguez,06031956,20,30,20,16,0
EIS,2914771745,María Cartagena,09011965,66,26,66,67,1
ANI,8478744222,Melissa García,03121956,8,90,8,90,1
TI REN,9960923790,Carlos Cartagena,08081928,18,36,18,83,0
CC DUP,8299363411,David González,24081955,99,58,99,54,0
CC DUP,0834623265,Juan Perez,13031925,8,60,8,78,1
CC,4504443339,Luis González,23061925,99,78,99,15,0
CC DIG,7807268794,Ana López,04091958,50,79,50,74,1
TI,6411378444,Luis González,25111998,66,20,66,13,1
MTR,1608155534,David Perez,27081948,18,50,18,54,0
TI REN,6332405063,Juan López,03081961,97,73,97,1,0
CC REN,9379820660,Juan Hurtado,18062008,99,20,99,93,1
AFIS,2222083174,Daniela Martínez,10071947,11,35,11,47,0
SITAC,7137900219,Juan Martínez,04011966,25,75,25,55,0
CC DIG,0037635322,Manuela Cifuentes,02021952,54,15,54,94,1
CC,6384579311,Sofía Murillo,25051994,52,93,52,78,0
CC REC,9719518578,Gabriela Castaneda,12051939,91,100,91,55,1
CCT,5464428551,Ana Perez,07111956,11,36,11,38,0
ANI,2723895398,Sofía Murillo,02101906,94,73,94,59,0
SITAC,2224914697,Ana Murillo,11031971,68,16,68,2,0
TI PV,7038220868,Miguel González,06101998,63,77,63,25,0
TI REN,9609682237,Manuela Perez,09011983,66,77,66,1,0
HLED-WEB,8122877176,David González,07091930,68,97,68,87,1
TI REN,2213977797,Carlos Martínez,03102005,73,52,73,50,0
NIP,2355172739,Melissa Cartagena,04021940,50,50,50,75,0
TI REC,2461919158,Marcela García,24061988,86,11,86,94,1
CC REN,5756928385,Gabriela Cartagena,27051945,20,60,20,78,1
CC DUP,7132872834,Juan Castaneda,05041962,66,20,66,34,0
CCT,1623301259,Carlos Castaneda,18011958,15,62,15,97,1
CC PV,3318537745,Marcela Perez,18112002,85,22,85,60,0
CC DUP,3826034264,Ana Perez,27091966,13,31,13,74,1
AFIS,9183320913,Laura Martínez,24091986,70,67,70,40,1
CC REN,2836193634,David García,23121989,15,3,15,91,0
CC REC,5414197635,Luis González,22111926,13,54,13,99,0
TI PV,7565862926,Luis González,08111937,18,90,18,100,1
CC PV,3151649450,Miguel González,13111966,97,31,97,42,0
SIC,8180488341,Carlos Rodríguez,22061985,50,40,50,35,0
TI,4757611401,Miguel Martínez,25061912,97,21,97,60,1
TI REN,2833399869,Ana García,09051930,8,74,8,74,0
CC,5038208982,Carlos Hurtado,03111996,41,62,41,54,1
TI REC,6389849178,María Perez,15051937,88,59,88,81,1
ANI,6956858680,Gabriela López,25062012,99,2,99,3,0
NUIP,3418648670,Manuela González,16021934,85,6,85,50,0
CC DIG,7719224505,Daniela Castaneda,24091933,15,24,15,36,1
SITAC,1388968203,Ana Rodríguez,16081984,8,2,8,36,0
SIC,2825464018,María López,15071961,11,59,11,65,1
CC REN,6457828112,Laura Castaneda,05091952,97,52,97,53,1
TI DUP,1572375632,Sofía González,26101926,66,2,66,42,0
MTR,0226677317,David Perez,08071964,41,13,41,41,1
TI REC,3064405124,David López,11061988,23,32,23,50,0
SITAC,6476051607,David García,05031978,66,20,66,40,1
CC DUP,2030453920,Ana Cifuentes,14121975,15,15,15,95,0
CC REN,1317523233,Miguel Castaneda,23061987,63,40,63,88,1
DCU,7932040669,Manuela González,10101924,81,35,81,86,1
EIS,8073413527,Miguel López,03101972,8,98,8,88,1
SITAC,8884348440,Laura López,15091934,5,78,5,24,0
TI REN,5455628687,Miguel García,20041931,86,47,86,55,0
CCT,6548921446,Carlos González,19081972,44,21,44,31,0
TI REC,5208301562,Daniela Cartagena,06071962,23,65,23,75,0
NUIP,4078441795,María Hurtado,15031944,52,47,52,10,1
CC DIG,5639888804,Gabriela Cartagena,10061991,63,4,63,45,1
MTR,7225988249,Sofía Cifuentes,18041926,8,40,8,11,0
TI PV,1266328589,Ana Hurtado,05011974,91,62,91,77,0
EIS,8356433083,Juan López,25011975,27,100,27,81,0
TI PV,2341017915,Manuela García,27082002,91,95,91,47,0
HLED-WEB,0312328613,Marcela Hernández,22051994,17,92,17,42,1
SIC,4418237464,Luis Perez,21011993,91,41,91,52,1
TI,0740062060,María Martínez,04121977,94,73,94,22,0
CC,3498472687,Daniela García,10022003,76,68,76,90,1
CC DIG,8905126551,Gabriela Hernández,23081968,8,19,8,54,0
CC DIG,9019572343,Melissa Rodríguez,02092023,68,4,68,54,0
SITAC,2495794667,David Murillo,11031966,66,98,66,19,1
HLED-WEB,6121562319,Daniela Rodríguez,08061964,41,4,41,24,1
TI REC,6363317538,María Rodríguez,09061942,97,99,97,47,0
HLED-WEB,1399986320,Gabriela Hernández,04081973,41,40,41,4,1
CC DUP,4699005744,María Cifuentes,15121998,18,10,18,44,0
TI,4103478409,Carlos Martínez,10091998,19,10,19,58,1
TI,5729206261,Laura Castaneda,16052006,52,59,52,98,0
MTR,1323755966,Juan López,04052006,99,47,99,19,0
TI DUP,6769015058,Sofía López,04061973,99,2,99,16,0
TI REN,2589686292,Laura González,18031939,63,31,63,36,1
ANI,9396560835,Ana Rodríguez,01111933,15,78,15,97,1
ABIS,5588830368,Luis Hernández,24072000,8,79,8,40,0
ANI,4279747566,Carlos Cifuentes,15041932,94,52,94,42,1
ANI,1740255109,Miguel González,22101976,41,45,41,90,1
TI REN,6415841923,Laura Martínez,10111994,88,13,88,60,1
DCU,4565533627,Manuela Murillo,04121925,91,45,91,29,0
CC DUP,0177495514,Gabriela López,07071960,8,35,8,29,0
AFIS,9091359932,Daniela Perez,21032006,17,67,17,98,0
AFIS,1316425454,Miguel Hurtado,22081967,95,58,95,47,0
CCT,5019384473,Ana Cartagena,18051933,41,6,41,31,1
NIP,2752736490,Gabriela López,27092004,66,50,66,73,1
CC,6108981492,Gabriela Martínez,03051947,91,50,91,42,1
MTR,0626191277,Luis López,28121947,85,67,85,50,0
ABIS,6167171393,Manuela Cifuentes,25081989,23,95,23,52,0
NUIP,0769183892,Marcela Murillo,11061946,23,77,23,92,1
TI REN,0738266564,Miguel Cartagena,12101982,5,88,5,77,0
CC DIG,5534881685,Juan González,11021936,17,43,17,16,1
CC DIG,5831460946,Laura Murillo,27062004,27,20,27,73,0
CC DUP,9212890805,David García,01021962,68,45,68,2,0
NIP,6125872224,Carlos González,06092003,13,95,13,30,1
SITAC,8035261224,Luis Hurtado,08041967,97,20,97,38,0
CC REN,0718979815,Luis Hurtado,13031999,91,1,91,10,0
CC,0445377193,María Rodríguez,07021939,50,59,50,94,0
CCT,4729024055,Carlos Cartagena,08112003,19,47,19,60,1
NIP,7649856112,David Cifuentes,05021961,17,94,17,16,1
ABIS,5186484303,Luis López,17021942,95,54,95,73,0
ABIS,5361444555,Sofía Perez,05031988,5,16,5,36,0
DCU,2730191447,Daniela Hurtado,02032000,85,95,85,21,0
DCU,7599774768,Luis García,20052001,50,92,50,32,1
CC REN,1031301160,Carlos García,13021989,63,42,63,74,0
DCU,3298842634,David Martínez,15081928,41,68,41,91,1
EIS,0795227257,Sofía Hurtado,03111931,25,16,25,90,0
CC DIG,3100283352,Laura López,05091986,86,3,86,2,1
CC REN,1290521410,Manuela Cifuentes,28071925,99,51,99,42,0
CC REC,4560536553,Daniela Hurtado,28091958,86,77,86,22,0
CC,8780066375,Carlos Perez,03122009,23,16,23,94,0
AFIS,8985883894,Gabriela Hernández,03082000,91,29,91,6,1
CC DUP,5644754923,María Martínez,19091991,47,44,47,88,0
EIS,7676195286,Carlos Murillo,05011987,25,16,25,2,0
EIS,2817107178,Daniela Perez,24101977,99,60,99,65,0
TI,4803635630,María Cifuentes,02121979,11,20,11,79,0
NUIP,9773560539,Manuela Rodríguez,27101926,5,26,5,87,0
ANI,1402683706,María Perez,05062002,81,68,81,24,0
TI,5521084308,Luis López,05121976,76,26,76,3,1
TI REN,5932430709,Manuela Hurtado,15111940,25,98,25,13,0
CC DUP,7512087964,Sofía Perez,01111988,41,34,41,11,1
CC DIG,5715523736,Luis García,27081929,68,83,68,19,1
EIS,2351973385,David Rodríguez,19021937,76,86,76,4,1
MTR,9629957321,Sofía Hernández,13051954,15,22,15,42,1
SITAC,0835426917,Gabriela Martínez,16011963,13,53,13,67,0
TI REN,8266281574,Daniela Hurtado,27081932,13,92,13,68,0
TI REC,8905805260,Miguel Cartagena,11111999,25,45,25,35,1
ANI,2322912229,Manuela Martínez,25061989,97,81,97,87,0
AFIS,2000493442,Laura Murillo,10021964,95,68,95,51,1
CC REN,6224471735,Carlos Perez,17032003,68,15,68,62,1
AFIS,1524745749,Miguel Rodríguez,25061903,13,60,13,91,1
MTR,9931128273,Miguel Cartagena,09121948,66,94,66,30,0
NIP,5270696261,Manuela Cifuentes,14051951,81,92,81,47,1
TI REC,4681826985,David González,06062009,73,25,73,92,0
CCT,3077270904,Juan García,06031959,68,79,68,88,1
CC PV,6369358707,David Hurtado,07072003,95,45,95,92,0
DCU,4170712303,Gabriela Cartagena,05081968,63,20,63,60,1
EIS,1886655286,David Perez,27021934,66,45,66,16,0
MTR,5153548614,Daniela Hurtado,20091931,15,11,15,59,0
TI DUP,6628881296,Laura Murillo,10031978,15,94,15,30,1
CC,7058218748,Melissa González,03031984,76,90,76,42,1
CC PV,3969827250,Miguel Cartagena,16072002,73,19,73,83,1
EIS,8827778447,Marcela Hernández,21031982,66,45,66,42,0
TI REN,5432999203,Sofía Cartagena,10091985,76,54,76,31,0
CC REN,9159005944,Sofía Cartagena,10011984,73,75,73,41,1
CC,2606688913,Sofía Castaneda,24091967,23,40,23,52,1
CCT,6601792577,Carlos García,26011952,86,44,86,16,1
NIP,6535058134,Gabriela Murillo,26051924,25,45,25,32,1
HLED-WEB,5552945275,David Rodríguez,07091943,68,92,68,92,1
SITAC,2348025164,Carlos Cartagena,11121928,81,98,81,44,0
HLED-WEB,8910880180,Luis Cifuentes,13121932,66,29,66,13,1
ANI,2168923157,Carlos González,05061961,66,31,66,1,1
TI,4118680225,Laura García,05031926,86,21,86,13,1
SITAC,7743303340,Miguel Hurtado,01111942,23,62,23,6,0
CC REC,0714275224,Carlos Hernández,22021925,73,73,73,25,1
TI DUP,2433486437,Laura García,28111994,99,36,99,31,0
SIC,4633837004,Melissa Castaneda,22071941,18,24,18,83,1
CC PV,9310807145,David Murillo,16111928,99,38,99,100,1
TI,9396265757,Ana López,22041948,50,40,50,32,0
TI REN,9686031992,Carlos Hernández,18021984,91,81,91,51,0
TI DUP,2102068285,Carlos Rodríguez,28031928,50,19,50,26,0
SIC,6821021728,Marcela Murillo,02051949,20,45,20,16,1
MTR,4155833517,Juan Hernández,16051973,20,43,20,87,1
TI REN,4231650488,Ana Martínez,01091997,8,47,8,59,1
TI DUP,3290412093,Luis Perez,24051981,70,20,70,97,1
MTR,8093622419,María Martínez,28061990,99,75,99,83,1
NUIP,2855435108,María Hernández,16021926,85,62,85,60,0
CC REN,4210408186,Sofía García,17101924,44,35,44,34,1
MTR,2838665402,María González,03122008,50,99,50,21,1
HLED-WEB,1038070797,Ana Hurtado,17041996,44,60,44,100,1
CCT,1809859665,María Hurtado,10071926,23,19,23,77,0
CCT,0799814076,Luis López,01051994,25,73,25,41,1
